"Posição","Nome","Localidade","2005","2009","Unidade","Multiplicador"
"1.1.1.1","Cirurgia bucomaxilofacial","Minas Gerais",,"73","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Espírito Santo",,"15","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Rio de Janeiro",,"86","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","São Paulo",,"186","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Paraná",,"64","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Santa Catarina",,"35","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Rio Grande do Sul",,"48","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Mato Grosso do Sul",,"12","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Mato Grosso",,"10","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Goiás",,"23","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Distrito Federal",,"7","estabelecimentos",1
"1.1.1.2","Clínica médica","Rondônia",,"81","estabelecimentos",1
"1.1.1.2","Clínica médica","Acre",,"16","estabelecimentos",1
"1.1.1.2","Clínica médica","Amazonas",,"90","estabelecimentos",1
"1.1.1.2","Clínica médica","Roraima",,"20","estabelecimentos",1
"1.1.1.2","Clínica médica","Pará",,"230","estabelecimentos",1
"1.1.1.2","Clínica médica","Amapá",,"19","estabelecimentos",1
"1.1.1.2","Clínica médica","Tocantins",,"65","estabelecimentos",1
"1.1.1.2","Clínica médica","Maranhão",,"230","estabelecimentos",1
"1.1.1.2","Clínica médica","Piauí",,"89","estabelecimentos",1
"1.1.1.2","Clínica médica","Ceará",,"161","estabelecimentos",1
"1.1.1.2","Clínica médica","Rio Grande do Norte",,"104","estabelecimentos",1
"1.1.1.2","Clínica médica","Paraíba",,"57","estabelecimentos",1
"1.1.1.2","Clínica médica","Pernambuco",,"268","estabelecimentos",1
"1.1.1.2","Clínica médica","Alagoas",,"70","estabelecimentos",1
"1.1.1.2","Clínica médica","Sergipe",,"34","estabelecimentos",1
"1.1.1.2","Clínica médica","Bahia",,"497","estabelecimentos",1
"1.1.1.2","Clínica médica","Minas Gerais",,"706","estabelecimentos",1
"1.1.1.2","Clínica médica","Espírito Santo",,"118","estabelecimentos",1
"1.1.1.2","Clínica médica","Rio de Janeiro",,"398","estabelecimentos",1
"1.1.1.2","Clínica médica","São Paulo",,"1041","estabelecimentos",1
"1.1.1.2","Clínica médica","Paraná",,"456","estabelecimentos",1
"1.1.1.2","Clínica médica","Santa Catarina",,"261","estabelecimentos",1
"1.1.1.2","Clínica médica","Rio Grande do Sul",,"362","estabelecimentos",1
"1.1.1.2","Clínica médica","Mato Grosso do Sul",,"103","estabelecimentos",1
"1.1.1.2","Clínica médica","Mato Grosso",,"160","estabelecimentos",1
"1.1.1.2","Clínica médica","Goiás",,"299","estabelecimentos",1
"1.1.1.2","Clínica médica","Distrito Federal",,"32","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Rondônia",,"9","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Acre",,"3","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Amazonas",,"5","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Roraima",,"2","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Pará",,"10","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Amapá",,"1","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Tocantins",,"4","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Maranhão",,"11","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Piauí",,"9","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Ceará",,"8","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Rio Grande do Norte",,"8","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Paraíba",,"8","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Pernambuco",,"27","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Alagoas",,"7","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Sergipe",,"6","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Bahia",,"30","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Minas Gerais",,"77","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Espírito Santo",,"18","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Rio de Janeiro",,"79","estabelecimentos",1
"1.1.1.3","Neurocirurgia","São Paulo",,"192","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Paraná",,"62","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Santa Catarina",,"32","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Rio Grande do Sul",,"51","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Mato Grosso do Sul",,"8","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Mato Grosso",,"9","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Goiás",,"21","estabelecimentos",1
"1.1.1.3","Neurocirurgia","Distrito Federal",,"6","estabelecimentos",1
"1.1.1.4","Obstetrícia","Rondônia",,"46","estabelecimentos",1
"1.1.1.4","Obstetrícia","Acre",,"13","estabelecimentos",1
"1.1.1.4","Obstetrícia","Amazonas",,"74","estabelecimentos",1
"1.1.1.4","Obstetrícia","Roraima",,"6","estabelecimentos",1
"1.1.1.4","Obstetrícia","Pará",,"159","estabelecimentos",1
"1.1.1.4","Obstetrícia","Amapá",,"12","estabelecimentos",1
"1.1.1.4","Obstetrícia","Tocantins",,"33","estabelecimentos",1
"1.1.1.4","Obstetrícia","Maranhão",,"164","estabelecimentos",1
"1.1.1.4","Obstetrícia","Piauí",,"45","estabelecimentos",1
"1.1.1.4","Obstetrícia","Ceará",,"106","estabelecimentos",1
"1.1.1.4","Obstetrícia","Rio Grande do Norte",,"62","estabelecimentos",1
"1.1.1.4","Obstetrícia","Paraíba",,"28","estabelecimentos",1
"1.1.1.4","Obstetrícia","Pernambuco",,"168","estabelecimentos",1
"1.1.1.4","Obstetrícia","Alagoas",,"44","estabelecimentos",1
"1.1.1.4","Obstetrícia","Sergipe",,"15","estabelecimentos",1
"1.1.1.4","Obstetrícia","Bahia",,"336","estabelecimentos",1
"1.1.1.4","Obstetrícia","Minas Gerais",,"437","estabelecimentos",1
"1.1.1.4","Obstetrícia","Espírito Santo",,"67","estabelecimentos",1
"1.1.1.4","Obstetrícia","Rio de Janeiro",,"201","estabelecimentos",1
"1.1.1.4","Obstetrícia","São Paulo",,"633","estabelecimentos",1
"1.1.1.4","Obstetrícia","Paraná",,"348","estabelecimentos",1
"1.1.1.4","Obstetrícia","Santa Catarina",,"163","estabelecimentos",1
"1.1.1.4","Obstetrícia","Rio Grande do Sul",,"230","estabelecimentos",1
"1.1.1.4","Obstetrícia","Mato Grosso do Sul",,"60","estabelecimentos",1
"1.1.1.4","Obstetrícia","Mato Grosso",,"97","estabelecimentos",1
"1.1.1.4","Obstetrícia","Goiás",,"165","estabelecimentos",1
"1.1.1.4","Obstetrícia","Distrito Federal",,"24","estabelecimentos",1
"1.1.1.5","Pediatria","Rondônia",,"51","estabelecimentos",1
"1.1.1.5","Pediatria","Acre",,"13","estabelecimentos",1
"1.1.1.5","Pediatria","Amazonas",,"81","estabelecimentos",1
"1.1.1.5","Pediatria","Roraima",,"6","estabelecimentos",1
"1.1.1.5","Pediatria","Pará",,"156","estabelecimentos",1
"1.1.1.5","Pediatria","Amapá",,"16","estabelecimentos",1
"1.1.1.5","Pediatria","Tocantins",,"38","estabelecimentos",1
"1.1.1.5","Pediatria","Maranhão",,"167","estabelecimentos",1
"1.1.1.5","Pediatria","Piauí",,"54","estabelecimentos",1
"1.1.1.5","Pediatria","Ceará",,"105","estabelecimentos",1
"1.1.1.5","Pediatria","Rio Grande do Norte",,"61","estabelecimentos",1
"1.1.1.5","Pediatria","Paraíba",,"33","estabelecimentos",1
"1.1.1.5","Pediatria","Pernambuco",,"183","estabelecimentos",1
"1.1.1.5","Pediatria","Alagoas",,"59","estabelecimentos",1
"1.1.1.5","Pediatria","Sergipe",,"22","estabelecimentos",1
"1.1.1.5","Pediatria","Bahia",,"348","estabelecimentos",1
"1.1.1.5","Pediatria","Minas Gerais",,"491","estabelecimentos",1
"1.1.1.5","Pediatria","Espírito Santo",,"76","estabelecimentos",1
"1.1.1.5","Pediatria","Rio de Janeiro",,"290","estabelecimentos",1
"1.1.1.5","Pediatria","São Paulo",,"799","estabelecimentos",1
"1.1.1.5","Pediatria","Paraná",,"338","estabelecimentos",1
"1.1.1.5","Pediatria","Santa Catarina",,"175","estabelecimentos",1
"1.1.1.5","Pediatria","Rio Grande do Sul",,"270","estabelecimentos",1
"1.1.1.5","Pediatria","Mato Grosso do Sul",,"63","estabelecimentos",1
"1.1.1.5","Pediatria","Mato Grosso",,"102","estabelecimentos",1
"1.1.1.5","Pediatria","Goiás",,"158","estabelecimentos",1
"1.1.1.5","Pediatria","Distrito Federal",,"31","estabelecimentos",1
"1.1.1.6","Psiquiatria","Rondônia",,"10","estabelecimentos",1
"1.1.1.6","Psiquiatria","Acre",,"4","estabelecimentos",1
"1.1.1.6","Psiquiatria","Amazonas",,"10","estabelecimentos",1
"1.1.1.6","Psiquiatria","Roraima",,"2","estabelecimentos",1
"1.1.1.6","Psiquiatria","Pará",,"21","estabelecimentos",1
"1.1.1.6","Psiquiatria","Amapá",,"1","estabelecimentos",1
"1.1.1.6","Psiquiatria","Tocantins",,"9","estabelecimentos",1
"1.1.1.6","Psiquiatria","Maranhão",,"19","estabelecimentos",1
"1.1.1.6","Psiquiatria","Piauí",,"6","estabelecimentos",1
"1.1.1.6","Psiquiatria","Ceará",,"15","estabelecimentos",1
"1.1.1.6","Psiquiatria","Rio Grande do Norte",,"10","estabelecimentos",1
"1.1.1.6","Psiquiatria","Paraíba",,"2","estabelecimentos",1
"1.1.1.6","Psiquiatria","Pernambuco",,"26","estabelecimentos",1
"1.1.1.6","Psiquiatria","Alagoas",,"11","estabelecimentos",1
"1.1.1.6","Psiquiatria","Sergipe",,"5","estabelecimentos",1
"1.1.1.6","Psiquiatria","Bahia",,"69","estabelecimentos",1
"1.1.1.6","Psiquiatria","Minas Gerais",,"94","estabelecimentos",1
"1.1.1.6","Psiquiatria","Espírito Santo",,"14","estabelecimentos",1
"1.1.1.6","Psiquiatria","Rio de Janeiro",,"77","estabelecimentos",1
"1.1.1.6","Psiquiatria","São Paulo",,"210","estabelecimentos",1
"1.1.1.6","Psiquiatria","Paraná",,"90","estabelecimentos",1
"1.1.1.6","Psiquiatria","Santa Catarina",,"64","estabelecimentos",1
"1.1.1.6","Psiquiatria","Rio Grande do Sul",,"122","estabelecimentos",1
"1.1.1.6","Psiquiatria","Mato Grosso do Sul",,"18","estabelecimentos",1
"1.1.1.6","Psiquiatria","Mato Grosso",,"17","estabelecimentos",1
"1.1.1.6","Psiquiatria","Goiás",,"20","estabelecimentos",1
"1.1.1.6","Psiquiatria","Distrito Federal",,"5","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Rondônia",,"35","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Acre",,"6","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Amazonas",,"50","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Roraima",,"3","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Pará",,"90","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Amapá",,"8","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Tocantins",,"25","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Maranhão",,"88","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Piauí",,"28","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Ceará",,"60","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Rio Grande do Norte",,"30","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Paraíba",,"24","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Pernambuco",,"98","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Alagoas",,"19","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Sergipe",,"12","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Bahia",,"258","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Minas Gerais",,"350","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Espírito Santo",,"58","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Rio de Janeiro",,"223","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","São Paulo",,"624","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Paraná",,"220","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Santa Catarina",,"101","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Rio Grande do Sul",,"146","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Mato Grosso do Sul",,"48","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Mato Grosso",,"74","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Goiás",,"117","estabelecimentos",1
"1.1.1.7","Traumato-ortopedia","Distrito Federal",,"20","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Rondônia",,"18","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Acre",,"4","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Amazonas",,"27","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Roraima",,"3","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Pará",,"46","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Amapá",,"6","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Tocantins",,"8","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Maranhão",,"50","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Piauí",,"20","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Ceará",,"43","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Rio Grande do Norte",,"25","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Paraíba",,"23","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Pernambuco",,"48","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Alagoas",,"20","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Sergipe",,"10","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Bahia",,"140","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Minas Gerais",,"183","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Espírito Santo",,"36","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Rio de Janeiro",,"134","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","São Paulo",,"357","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Paraná",,"147","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Santa Catarina",,"80","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Rio Grande do Sul",,"116","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Mato Grosso do Sul",,"22","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Mato Grosso",,"20","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Goiás",,"66","estabelecimentos",1
"1.1.1.8","Outras especialidades cirúrgicas","Distrito Federal",,"15","estabelecimentos",1
"1.1.1.9","Outros","Rondônia",,"5","estabelecimentos",1
"1.1.1.9","Outros","Acre",,"4","estabelecimentos",1
"1.1.1.9","Outros","Amazonas",,"13","estabelecimentos",1
"1.1.1.9","Outros","Roraima",,"4","estabelecimentos",1
"1.1.1.9","Outros","Pará",,"23","estabelecimentos",1
"1.1.1.9","Outros","Amapá",,"4","estabelecimentos",1
"1.1.1.9","Outros","Tocantins",,"6","estabelecimentos",1
"1.1.1.9","Outros","Maranhão",,"15","estabelecimentos",1
"1.1.1.9","Outros","Piauí",,"13","estabelecimentos",1
"1.1.1.9","Outros","Ceará",,"15","estabelecimentos",1
"1.1.1.9","Outros","Rio Grande do Norte",,"13","estabelecimentos",1
"1.1.1.9","Outros","Paraíba",,"15","estabelecimentos",1
"1.1.1.9","Outros","Pernambuco",,"43","estabelecimentos",1
"1.1.1.9","Outros","Alagoas",,"16","estabelecimentos",1
"1.1.1.9","Outros","Sergipe",,"7","estabelecimentos",1
"1.1.1.9","Outros","Bahia",,"44","estabelecimentos",1
"1.1.1.9","Outros","Minas Gerais",,"112","estabelecimentos",1
"1.1.1.9","Outros","Espírito Santo",,"23","estabelecimentos",1
"1.1.1.9","Outros","Rio de Janeiro",,"119","estabelecimentos",1
"1.1.1.9","Outros","São Paulo",,"217","estabelecimentos",1
"1.1.1.9","Outros","Paraná",,"78","estabelecimentos",1
"1.1.1.9","Outros","Santa Catarina",,"37","estabelecimentos",1
"1.1.1.9","Outros","Rio Grande do Sul",,"48","estabelecimentos",1
"1.1.1.9","Outros","Mato Grosso do Sul",,"8","estabelecimentos",1
"1.1.1.9","Outros","Mato Grosso",,"15","estabelecimentos",1
"1.1.1.9","Outros","Goiás",,"41","estabelecimentos",1
"1.1.1.9","Outros","Distrito Federal",,"16","estabelecimentos",1
"1.2","Categoria do estabelecimento",,,,"",""
"1.2.1","Geral",,,,"",""
"1.2.1.1","Tipo de atendimento",,,,"",""
"1.2.1.1.1","Com internação","Rondônia",,"16","estabelecimentos",1
"1.2.1.1.1","Com internação","Acre",,"10","estabelecimentos",1
"1.2.1.1.1","Com internação","Amazonas",,"59","estabelecimentos",1
"1.2.1.1.1","Com internação","Roraima",,"7","estabelecimentos",1
"1.2.1.1.1","Com internação","Pará",,"130","estabelecimentos",1
"1.2.1.1.1","Com internação","Amapá",,"5","estabelecimentos",1
"1.2.1.1.1","Com internação","Tocantins",,"35","estabelecimentos",1
"1.2.1.1.1","Com internação","Maranhão",,"120","estabelecimentos",1
"1.2.1.1.1","Com internação","Piauí",,"146","estabelecimentos",1
"1.2.1.1.1","Com internação","Ceará",,"103","estabelecimentos",1
"1.2.1.1.1","Com internação","Rio Grande do Norte",,"70","estabelecimentos",1
"1.2.1.1.1","Com internação","Paraíba",,"63","estabelecimentos",1
"1.2.1.1.1","Com internação","Pernambuco",,"64","estabelecimentos",1
"1.2.1.1.1","Com internação","Alagoas",,"36","estabelecimentos",1
"1.2.1.1.1","Com internação","Sergipe",,"13","estabelecimentos",1
"1.2.1.1.1","Com internação","Bahia",,"228","estabelecimentos",1
"1.2.1.1.1","Com internação","Minas Gerais",,"387","estabelecimentos",1
"1.2.1.1.1","Com internação","Espírito Santo",,"49","estabelecimentos",1
"1.2.1.1.1","Com internação","Rio de Janeiro",,"146","estabelecimentos",1
"1.2.1.1.1","Com internação","São Paulo",,"421","estabelecimentos",1
"1.2.1.1.1","Com internação","Paraná",,"262","estabelecimentos",1
"1.2.1.1.1","Com internação","Santa Catarina",,"113","estabelecimentos",1
"1.2.1.1.1","Com internação","Rio Grande do Sul",,"197","estabelecimentos",1
"1.2.1.1.1","Com internação","Mato Grosso do Sul",,"58","estabelecimentos",1
"1.2.1.1.1","Com internação","Mato Grosso",,"109","estabelecimentos",1
"1.2.1.1.1","Com internação","Goiás",,"108","estabelecimentos",1
"1.2.1.1.1","Com internação","Distrito Federal",,"7","estabelecimentos",1
"1.2.1.1.1.1","Esfera administrativa",,,,"",""
"1.2.1.1.1.1.1","Público","Rondônia",,"9","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Acre",,"10","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Amazonas",,"52","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Roraima",,"7","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Pará",,"68","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Amapá",,"5","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Tocantins",,"28","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Maranhão",,"104","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Piauí",,"113","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Ceará",,"69","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Rio Grande do Norte",,"48","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Paraíba",,"38","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Pernambuco",,"44","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Alagoas",,"27","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Sergipe",,"7","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Bahia",,"125","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Minas Gerais",,"91","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Espírito Santo",,"11","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Rio de Janeiro",,"55","estabelecimentos",1
"1.2.1.1.1.1.1","Público","São Paulo",,"89","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Paraná",,"103","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Santa Catarina",,"16","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Rio Grande do Sul",,"28","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Mato Grosso do Sul",,"23","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Mato Grosso",,"57","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Goiás",,"60","estabelecimentos",1
"1.2.1.1.1.1.1","Público","Distrito Federal",,"5","estabelecimentos",1
"1.2.1.1.1.1.2","Privado","Rondônia",,"7","estabelecimentos",1
"1.2.1.1.1.1.2","Privado","Acre",,"0","estabelecimentos",1
"1.2.1.1.1.1.2","Privado","Amazonas",,"7","estabelecimentos",1
"1.2.1.1.1.1.2","Privado","Roraima",,"0","estabelecimentos",1
"1.2.1.1.1.1.2","Privado","Pará",,"62","estabelecimentos",1
"1.2.1.1.1.1.2","Privado","Amapá",,"0","estabelecimentos",1
"1.2.1.1.1.1.2","Privado","Tocantins",,"7","estabelecimentos",1
