Nível;Indicador;2009;Unidade
1.6.1.4;Com atendimento odontológico;2876;estabelecimentos
1.6.2;Serviços de apoio à diagnose e terapia - SADT;1112;estabelecimentos
1.6.2.1;Esfera administrativa;;
1.6.2.1.1;Público;97;estabelecimentos
1.6.2.1.2;Privado;1015;estabelecimentos
1.6.2.1.2.1;SUS;361;estabelecimentos
1.7;Tipo de estabelecimento;;
1.7.1;Único;8034;estabelecimentos
1.7.1.1;Esfera administrativa;;
1.7.1.1.1;Público;4765;estabelecimentos
1.7.1.1.2;Privado;3269;estabelecimentos
1.7.1.1.2.1;SUS;858;estabelecimentos
1.7.2;Terceirizado;225;estabelecimentos
1.7.2.1;Esfera administrativa;;
1.7.2.1.1;Público;2;estabelecimentos
1.7.2.1.2;Privado;223;estabelecimentos
1.7.2.1.2.1;SUS;62;estabelecimentos
1.7.3;Com terceirização;154;estabelecimentos
1.7.3.1;Esfera administrativa;;
1.7.3.1.1;Público;15;estabelecimentos
1.7.3.1.2;Privado;139;estabelecimentos
1.7.3.1.2.1;SUS;46;estabelecimentos
2;Equipamentos;;
2.1;Eletrocardiógrafo;1300;equipamentos
2.2;Eletroencefalógrafo;253;equipamentos
2.3;Equipamento de hemodiálise;1159;equipamentos
2.4;Mamógrafo;;
2.4.1;Com comando simples;216;equipamentos
2.4.2;Com estéreo-taxia;45;equipamentos
2.5;Raio X;;
2.5.1;Até 100mA;315;equipamentos
2.5.2;100 a 500mA;561;equipamentos
2.5.3;Mais de 500mA;135;equipamentos
2.6;Raio X para densitometria óssea;60;equipamentos
2.7;Ressonância magnética;47;equipamentos
2.8;Tomógrafo;122;equipamentos
2.9;Ultrassom doppler colorido;737;equipamentos
3;Número de leitos para internação em estabelecimentos de saúde;29106;leitos
3.1;Esfera administrativa;;
3.1.1;Público;13241;leitos
3.1.1.1;Federal;632;leitos
3.1.1.2;Estadual;3990;leitos
3.1.1.3;Municipal;8619;leitos
3.1.2;Privado;15865;leitos
3.1.2.1;SUS;13738;leitos



Fonte: IBGE, Assistência Médica Sanitária 2009. Rio de Janeiro: IBGE, 2010
